1  K       13.6
2  K       24.6
3  K       54.8
3 L1        5.3
4  K      112.1
4 L1        8.0
5  K      188.0
5 L1       12.6
5 L2        4.7
5 L3        4.7
6  K      283.8
6 L1       18.0
6 L2        6.4
6 L3        6.4
7  K      401.6
7 L1       24.4
7 L2        9.2
7 L3        9.2
8  K      532.0
8 L1       28.5
8 L2        7.1
8 L3        7.1
9  K      685.4
9 L1       34.0
9 L2        8.6
9 L3        8.6
10  K      870.1
10 L1       48.5
10 L2       21.7
10 L3       21.6
11  K     1072.1
11 L1       63.3
11 L2       31.1
11 L3       31.1
11 M1        0.7
12  K     1305.0
12 L1       89.4
12 L2       51.4
12 L3       51.4
12 M1        2.1
13  K     1559.6
13 L1      117.7
13 L2       73.2
13 L3       72.7
13 M1        0.7
13 M2        5.5
13 M3        5.5
14  K     1838.9
14 L1      148.7
14 L2       99.5
14 L3       98.9
14 M1        7.6
14 M2        3.0
14 M3        3.0
15  K     2145.5
15 L1      189.3
15 L2      136.2
15 L3      135.3
15 M1       16.2
15 M2        9.9
15 M3        9.9
16  K     2472.0
16 L1      229.2
16 L2      165.4
16 L3      164.2
16 M1       15.8
16 M2        8.0
16 M3        8.0
17  K     2822.4
17 L1      270.2
17 L2      201.6
17 L3      200.0
17 M1       17.5
17 M2        6.8
17 M3        6.8
18  K     3206.0
18 L1      326.3
18 L2      250.7
18 L3      248.6
18 M1       29.2
18 M2       15.9
18 M3       15.8
19  K     3607.4
19 L1      377.1
19 L2      296.3
19 L3      293.6
19 M1       33.9
19 M2       17.8
19 M3       17.8
20  K     4038.1
20 L1      437.8
20 L2      350.0
20 L3      346.4
20 M1       43.7
20 M2       25.4
20 M3       25.4
21  K     4492.8
21 L1      500.4
21 L2      406.7
21 L3      402.2
21 M1       53.8
21 M2       32.3
21 M3       32.3
21 M4        6.6
21 M5        6.6
22  K     4966.4
22 L1      563.7
22 L2      461.5
22 L3      455.5
22 M1       60.3
22 M2       34.6
22 M3       34.6
22 M4        3.7
22 M5        3.7
23  K     5465.1
23 L1      628.2
23 L2      520.5
23 L3      512.9
23 M1       66.5
23 M2       37.8
23 M3       37.8
23 M4        2.2
23 M5        2.2
24  K     5989.2
24 L1      694.6
24 L2      583.7
24 L3      574.5
24 M1       74.1
24 M2       42.5
24 M3       42.5
24 M4        2.3
24 M5        2.3
25  K     6539.0
25 L1      769.0
25 L2      651.4
25 L3      640.3
25 M1       83.9
25 M2       48.6
25 M3       48.6
25 M4        3.3
25 M5        3.3
26  K     7112.0
26 L1      846.1
26 L2      721.1
26 L3      708.1
26 M1       92.9
26 M2       54.0
26 M3       54.0
26 M4        3.6
26 M5        3.6
27  K     7708.9
27 L1      925.6
27 L2      793.6
27 L3      778.6
27 M1      100.7
27 M2       59.5
27 M3       59.5
27 M4        2.9
27 M5        2.9
28  K     8332.8
28 L1     1008.1
28 L2      871.9
28 L3      854.7
28 M1      111.8
28 M2       68.1
28 M3       68.1
28 M4        3.6
28 M5        3.6
29  K     8978.9
29 L1     1096.1
29 L2      951.0
29 L3      931.1
29 M1      119.8
29 M2       73.6
29 M3       73.6
29 M4        1.6
